address	name	namespace	reference_count	references
EXTERNAL:00000088	XRENGINE.EXE::?Feedback@CInput@@QAEXW4FeedbackType@1@MMM@Z	XRENGINE.EXE	1	1057cd64
EXTERNAL:00000089	XRENGINE.EXE::?SetInterval@CGameFont@@QAEXABU?$_vector2@M@@@Z	XRENGINE.EXE	1	1057cd68
EXTERNAL:0000008a	XRENGINE.EXE::?SetInterval@CGameFont@@QAEXMM@Z	XRENGINE.EXE	1	1057cd6c
EXTERNAL:0000008b	XRENGINE.EXE::?Initialize@CGameFont@@QAEXPBD0@Z	XRENGINE.EXE	1	1057cd70
EXTERNAL:0000008c	XRENGINE.EXE::??1CGameFont@@QAE@XZ	XRENGINE.EXE	1	1057cd74
EXTERNAL:0000008d	XRENGINE.EXE::??0CGameFont@@QAE@PBD0I@Z	XRENGINE.EXE	1	1057cd78
EXTERNAL:0000008e	XRENGINE.EXE::?pick_mark@motion_marks@@QBEPBU?$pair@MM@std@@ABM@Z	XRENGINE.EXE	1	1057cd7c
EXTERNAL:0000008f	XRENGINE.EXE::?is_empty@motion_marks@@QBE_NXZ	XRENGINE.EXE	1	1057cd80
EXTERNAL:00000090	XRENGINE.EXE::?CalculateRGB@CLAItem@@QAEIMAAH@Z	XRENGINE.EXE	1	1057cd84
EXTERNAL:00000091	XRENGINE.EXE::?_get@?$resptr_base@VIRender_Glow@@@@QBEPAVIRender_Glow@@XZ	XRENGINE.EXE	1	1057cd88
EXTERNAL:00000092	XRENGINE.EXE::?LoadEnd@CApplication@@QAEXXZ	XRENGINE.EXE	1	1057cd8c
EXTERNAL:00000093	XRENGINE.EXE::?LoadBegin@CApplication@@QAEXXZ	XRENGINE.EXE	1	1057cd90
EXTERNAL:00000094	XRENGINE.EXE::?PreCache@CRenderDevice@@QAEXI_N0@Z	XRENGINE.EXE	1	1057cd94
EXTERNAL:00000095	XRENGINE.EXE::??_7pure_relcase@@6B@	XRENGINE.EXE	1	1057cd98
EXTERNAL:00000096	XRENGINE.EXE::??1pure_relcase@@UAE@XZ	XRENGINE.EXE	1	1057cd9c
EXTERNAL:00000097	XRENGINE.EXE::?relcase_register@CObjectList@@QAEXV?$FastDelegate@$$A6AXPAVCObject@@@Z@fastdelegate@@PAH@Z	XRENGINE.EXE	1	1057cda0
EXTERNAL:00000098	XRENGINE.EXE::?GetWeather@CEnvironment@@QAE?AVshared_str@@XZ	XRENGINE.EXE	1	1057cda4
EXTERNAL:00000099	XRENGINE.EXE::?SetWeatherFX@CEnvironment@@QAE_NVshared_str@@@Z	XRENGINE.EXE	1	1057cda8
EXTERNAL:0000009a	XRENGINE.EXE::?SetGameTime@CEnvironment@@QAEXMM@Z	XRENGINE.EXE	1	1057cdac
EXTERNAL:0000009b	XRENGINE.EXE::?StopWFX@CEnvironment@@QAEXXZ	XRENGINE.EXE	1	1057cdb0
EXTERNAL:0000009c	XRENGINE.EXE::?SetHeightI@CGameFont@@QAEXM@Z	XRENGINE.EXE	1	1057cdb4
EXTERNAL:0000009d	XRENGINE.EXE::?StartWeatherFXFromTime@CEnvironment@@QAE_NVshared_str@@M@Z	XRENGINE.EXE	1	1057cdb8
EXTERNAL:0000009e	XRENGINE.EXE::?Invalidate@CEnvironment@@QAEXXZ	XRENGINE.EXE	1	1057cdbc
EXTERNAL:0000009f	XRENGINE.EXE::?g_SASH@@3VxrSASH@@A	XRENGINE.EXE	1	1057cdc0
EXTERNAL:000000a0	XRENGINE.EXE::?g_current_keygroup@@3W4EKeyGroup@@A	XRENGINE.EXE	1	1057cdc4
EXTERNAL:000000a1	XRENGINE.EXE::?load_screen_renderer@@3VCLoadScreenRenderer@@A	XRENGINE.EXE	1	1057cdc8
EXTERNAL:000000a2	XRENGINE.EXE::?psDeviceFlags@@3U?$_flags@I@@A	XRENGINE.EXE	1	1057cdcc
EXTERNAL:000000a3	XRENGINE.EXE::?PreStart@IGame_Persistent@@UAEXPBD@Z	XRENGINE.EXE	1	1057cdd0
EXTERNAL:000000a4	XRENGINE.EXE::?IsSteamMode@IGame_Persistent@@UBE_NXZ	XRENGINE.EXE	1	1057cdd4
EXTERNAL:000000a5	XRENGINE.EXE::?DestroyLoadingScreen@CApplication@@QAEXXZ	XRENGINE.EXE	1	1057cdd8
EXTERNAL:000000a6	XRENGINE.EXE::?SetLoadingScreen@CApplication@@QAEXPAVILoadingScreen@@@Z	XRENGINE.EXE	1	1057cddc
EXTERNAL:000000a7	XRENGINE.EXE::?LoadStage@CApplication@@QAEXXZ	XRENGINE.EXE	1	1057cde0
EXTERNAL:000000a8	XRENGINE.EXE::?LoadTitleInt@CApplication@@QAEXPBD0@Z	XRENGINE.EXE	1	1057cde4
EXTERNAL:000000a9	XRENGINE.EXE::?Load@CGameMtlLibrary@@QAEXXZ	XRENGINE.EXE	1	1057cde8
EXTERNAL:000000aa	XRENGINE.EXE::?Unload@CGameMtlLibrary@@QAEXXZ	XRENGINE.EXE	1	1057cdec
EXTERNAL:000000ab	XRENGINE.EXE::?GetFVectorPtr@CConsole@@QBEPAU?$_vector3@M@@PBD@Z	XRENGINE.EXE	1	1057cdf0
EXTERNAL:000000ac	XRENGINE.EXE::??1IGame_Persistent@@UAE@XZ	XRENGINE.EXE	1	1057cdf4
EXTERNAL:000000ad	XRENGINE.EXE::??0IGame_Persistent@@QAE@XZ	XRENGINE.EXE	1	1057cdf8
EXTERNAL:000000ae	XRENGINE.EXE::?OnAssetsChanged@IGame_Persistent@@UAEXXZ	XRENGINE.EXE	1	1057cdfc
EXTERNAL:000000af	XRENGINE.EXE::?OnGameEnd@IGame_Persistent@@UAEXXZ	XRENGINE.EXE	1	1057ce00
EXTERNAL:000000b0	XRENGINE.EXE::?OnGameStart@IGame_Persistent@@UAEXXZ	XRENGINE.EXE	1	1057ce04
EXTERNAL:000000b1	XRENGINE.EXE::?OnFrame@IGame_Persistent@@UAEXXZ	XRENGINE.EXE	1	1057ce08
EXTERNAL:000000b2	XRENGINE.EXE::?OnAppEnd@IGame_Persistent@@UAEXXZ	XRENGINE.EXE	1	1057ce0c
EXTERNAL:000000b3	XRENGINE.EXE::?OnAppStart@IGame_Persistent@@UAEXXZ	XRENGINE.EXE	1	1057ce10
EXTERNAL:000000b4	XRENGINE.EXE::?Disconnect@IGame_Persistent@@UAEXXZ	XRENGINE.EXE	1	1057ce14
