address	length	value
10019dc9	36	?OnCL_QueryHost@IPureServer@@UAE_NXZ
10019dee	38	?OnConnectRejected@IPureClient@@UAEXXZ
10019e15	40	?OnDifferentVersions@IPureClient@@UAEXXZ
10019e3e	34	?OnInvalidHost@IPureClient@@UAEXXZ
10019e61	38	?OnInvalidPassword@IPureClient@@UAEXXZ
10019e88	73	?OnJoinRequested@CSteamHelper@@QAEXPAUGameRichPresenceJoinRequested_t@@@Z
10019ed2	34	?OnMessage@IPureClient@@UAEXPAXI@Z
10019ef5	56	?OnMessage@IPureServer@@UAEIAAVNET_Packet@@VClientID@@@Z
10019f2e	68	?OnPersonaStateChanged@CSteamHelper@@QAEXPAUPersonaStateChange_t@@@Z
10019f73	34	?OnSessionFull@IPureClient@@UAEXXZ
10019f96	43	?OnSessionTerminate@IPureClient@@UAEXHPBD@Z
10019fc2	105	?OnSteamNetConnectionStatusChanged@IPureSteamClient@@AAEXPAUSteamNetConnectionStatusChangedCallback_t@@@Z
1001a02c	105	?OnSteamNetConnectionStatusChanged@IPureSteamServer@@AAEXPAUSteamNetConnectionStatusChangedCallback_t@@@Z
1001a096	43	?Password@IPureServer@@QBEABVshared_str@@XZ
1001a0c2	30	?Port@IPureSteamServer@@QAEHXZ
1001a0e1	42	?Print_Banned_Addreses@IPureServer@@QAEXXZ
1001a10c	47	?RecievePacket@MultipacketReciever@@QAEXPBXII@Z
1001a13c	30	?Reconnect@IPureServer@@UAEXXZ
1001a176	42	?RequestUserInfo@CSteamHelper@@QAE_N_K_N@Z
1001a1a1	41	?Retreive@INetQueue@@QAEPAVNET_Packet@@XZ
1001a1cb	34	?RunCallbacks@CSteamHelper@@QAEXXZ
1001a1ee	38	?RunCallbacks@IPureSteamClient@@AAEXXZ
1001a215	38	?RunCallbacks@IPureSteamServer@@AAEXXZ
1001a23c	40	?Save@IBannedClient@@QAEXAAVCInifile@@@Z
1001a265	53	?SaveOrRequestTemporaryAvatars@CSteamHelper@@QAEX_K@Z
1001a29b	117	?SaveTemporaryAvatar@CSteamHelper@@AAE?AV?$basic_string@DU?$char_traits@D@std@@V?$xalloc@D@@@std@@_KW4eAvatarSize@@@Z
1001a311	42	?Send@IPureClient@@UAEXAAVNET_Packet@@II@Z
1001a33c	35	?Send@IPureSteamClient@@QAEXPAXII@Z
1001a360	61	?SendBroadcast@IPureServer@@UAEXVClientID@@AAVNET_Packet@@I@Z
1001a39e	53	?SendBroadcast_LL@IPureServer@@QAEXVClientID@@PAXII@Z
1001a3d4	43	?SendPacket@MultipacketSender@@QAEXPBXIII@Z
1001a400	55	?SendTo@IPureServer@@QAEXVClientID@@AAVNET_Packet@@II@Z
1001a438	39	?SendTo@IPureSteamServer@@QAEXIPAXIII@Z
1001a460	48	?SendTo_Buf@IPureServer@@UAEXVClientID@@PAXIII@Z
1001a491	36	?SendTo_LL@IPureClient@@MAEXPAXIII@Z
1001a4b6	47	?SendTo_LL@IPureServer@@UAEXVClientID@@PAXIII@Z
1001a4e6	86	?SetAvatarImageLoadedXRayCallback@CSteamHelper@@QAEX$$QAV?$function@$$A6AX_K@Z@std@@@Z
1001a53d	45	?SetClientID@IPureClient@@IAEXABVClientID@@@Z
