address	name	namespace	reference_count	references
EXTERNAL:00000082	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL::_invalid_parameter_noinfo_noreturn	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	31	10015158,1000d966,1000d9e7,1000daaf,10012269,1000f494,10010c3b,1000e236,1000e31d,100123f2,10011b69,1000ddf6,1000e477,10012555,10011d75,1000e568,1000e691,10011ed7,1000f6e7,1000df2f,1001278b,10010753,100066ea,1000a227,1000a51c,1000a59a,1000e032,1000fb8b,10011ff7,10012849,1000d89c
EXTERNAL:00000083	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL::crt_atexit	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	2	1001515c,10014057
EXTERNAL:00000084	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL::abort	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	3	10015160,10012c86,10012d88
EXTERNAL:00000085	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL::execute_onexit_table	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	2	10015164,10014051
EXTERNAL:00000086	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL::_beginthreadex	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	4	10015168,10004c9a,1000a6aa,1000ba13
EXTERNAL:00000087	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL::seh_filter_dll	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	2	1001516c,10014033
EXTERNAL:00000088	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL::_errno	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	2	10015170,1000a18c
EXTERNAL:00000089	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL::initialize_narrow_environment	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	2	10015174,1001403f
EXTERNAL:0000008a	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL::initialize_onexit_table	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	2	10015178,10014045
EXTERNAL:0000008b	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL::register_onexit_function	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	2	1001517c,1001404b
EXTERNAL:0000008c	API-MS-WIN-CRT-TIME-L1-1-0.DLL::_localtime64	API-MS-WIN-CRT-TIME-L1-1-0.DLL	5	100151ac,1000716a,10007304,1000746e,10008d6e
EXTERNAL:0000008d	API-MS-WIN-CRT-TIME-L1-1-0.DLL::_time64	API-MS-WIN-CRT-TIME-L1-1-0.DLL	3	100151b0,10009201,10008abb
EXTERNAL:0000008e	API-MS-WIN-CRT-TIME-L1-1-0.DLL::_mktime64	API-MS-WIN-CRT-TIME-L1-1-0.DLL	2	100151b4,1000715b
EXTERNAL:0000008f	API-MS-WIN-CRT-LOCALE-L1-1-0.DLL::___lc_codepage_func	API-MS-WIN-CRT-LOCALE-L1-1-0.DLL	2	1001513c,10012c90
